Product,Running Shoes,"<p><img src=""https://s3-us-west-1.amazonaws.com/forudropshipping/details/AQ.jpg"" /></p>","http://www.forudropshipping.com/storage/images/samplesI1cjpvc34LkH9mIBv8JSpEfJoFxRJSKBT7D8PLlk.jpg
http://www.forudropshipping.com/storage/images/samplesSgtlpJiY7AhGaPMKMIz53iG3RByQaHkO509qa2VL.jpg
http://www.forudropshipping.com/storage/images/samplesQA3jndbDvMX0TcmPVI9osnC8ZS6HHzmr8rlzTUQ3.jpg
http://www.forudropshipping.com/storage/images/samplesH7G0g0d2lFUKbpELqiLtTwH3QHdHa85OOgCgHp0T.jpg
http://www.forudropshipping.com/storage/images/samplesFgxwo1oTvVa531ElzrvYcPpOalyhJaYThLaC4uNG.jpg",
Variant,5415-5LMK-AQ-1,49.99,0,size:35;
Variant,5415-5LMK-AQ-2,49.99,0,size:36;
Variant,5415-5LMK-AQ-3,49.99,0,size:37;
Variant,5415-5LMK-AQ-4,49.99,0,size:38;
Variant,5415-5LMK-AQ-5,49.99,0,size:39;
Variant,5415-5LMK-AQ-6,49.99,0,size:40;
Variant,5415-5LMK-AQ-7,49.99,0,size:41;
Variant,5415-5LMK-AQ-8,49.99,0,size:42;
Variant,5415-5LMK-AQ-9,49.99,0,size:43;
Variant,5415-5LMK-AQ-10,49.99,0,size:44;
Variant,5415-5LMK-AQ-11,49.99,0,size:45;
Product,Running Shoes test,"<p><img src=""https://s3-us-west-1.amazonaws.com/forudropshipping/details/AQ.jpg"" /></p>","http://www.forudropshipping.com/storage/images/samples78I2Oi12KML2r4ZfznwT2PwlBHL3GlETMK84EupN.jpg
http://www.forudropshipping.com/storage/images/samplesb6l6w2A3rVolkWbQY1isuiepycemkyRFiKrba7dq.jpg
http://www.forudropshipping.com/storage/images/samplesdo4XZkgHz4QPasaz0mBXg9O8oGjPkH9KEijdLR1D.jpg
http://www.forudropshipping.com/storage/images/samplesMwXjJdnUnLpGYf5d25XbgVdWohOftqdIUbTixRqk.jpg
http://www.forudropshipping.com/storage/images/samplesZxmpYy6Z38RNbNqnioJvsBWPILdsPqv8Y01WHZh9.jpg
http://www.forudropshipping.com/storage/images/samplesFbbabCPk7kvjcpBUVatbduAkLteRmODe0yH10XBC.jpg",
Variant,5415-QRW2-AQ-1,49.99,0,size:35;
Variant,5415-QRW2-AQ-2,49.99,0,size:36;
Variant,5415-QRW2-AQ-3,49.99,0,size:37;
Variant,5415-QRW2-AQ-4,49.99,0,size:38;
Variant,5415-QRW2-AQ-5,49.99,0,size:39;
Variant,5415-QRW2-AQ-6,49.99,0,size:40;
Variant,5415-QRW2-AQ-7,49.99,0,size:41;
Variant,5415-QRW2-AQ-8,49.99,0,size:42;
Variant,5415-QRW2-AQ-9,49.99,0,size:43;
Variant,5415-QRW2-AQ-10,49.99,0,size:44;
Variant,5415-QRW2-AQ-11,49.99,0,size:45;
Product,High Top Canvas Shoes,"<p><img src=""https://s3-us-west-1.amazonaws.com/forudropshipping/details/DD.jpg"" /></p>","http://www.forudropshipping.com/storage/images/samplesxwIrRVmSBZvCEdkMcr715vTelRATJ6nz7NWYJRb3.jpg
http://www.forudropshipping.com/storage/images/samplesHiG7v7VustbpKPZicJGJBS7Nm933qQcIIRTD3VLt.jpg
http://www.forudropshipping.com/storage/images/samples2hLRHP5xLcNB6RrHTz1X9QAbtRHeFoMsUi3xKxIR.jpg
http://www.forudropshipping.com/storage/images/samplesNAcv11Lwr9WDE6KmPpE4aHvXaJZsDR1FWBBtIDAL.jpg
http://www.forudropshipping.com/storage/images/samplesL8S0rsyhOpqd03zv5FL8RpxXuttl0bPPlSLiXfBZ.jpg
http://www.forudropshipping.com/storage/images/samplesIc3qhZzCc6aMeRxhwB8gPwafdXa0jHAiqrEz1CLs.jpg",
Variant,5415-5892-DD-11,59.99,0,size:36;color:Black;
Variant,5415-5892-DD-22,59.99,0,size:37;color:Black;
Variant,5415-5892-DD-33,59.99,0,size:38;color:Black;
Variant,5415-5892-DD-44,59.99,0,size:39;color:Black;
Variant,5415-5892-DD-55,59.99,0,size:40;color:Black;
Variant,5415-5892-DD-66,59.99,0,size:41;color:Black;
Variant,5415-5892-DD-77,59.99,0,size:42;color:Black;
Variant,5415-5892-DD-88,59.99,0,size:43;color:Black;
Variant,5415-5892-DD-99,59.99,0,size:44;color:Black;
Variant,5415-5892-DD-1010,59.99,0,size:45;color:Black;
Variant,5415-5892-DD-1111,59.99,0,size:46;color:Black;
Variant,5415-5892-DD-1212,59.99,0,size:36;color:White;
Variant,5415-5892-DD-1313,59.99,0,size:37;color:White;
Variant,5415-5892-DD-1414,59.99,0,size:38;color:White;
Variant,5415-5892-DD-1515,59.99,0,size:39;color:White;
Variant,5415-5892-DD-1616,59.99,0,size:40;color:White;
Variant,5415-5892-DD-1717,59.99,0,size:41;color:White;
Variant,5415-5892-DD-1818,59.99,0,size:42;color:White;
Variant,5415-5892-DD-1919,59.99,0,size:43;color:White;
Variant,5415-5892-DD-2020,59.99,0,size:44;color:White;
Variant,5415-5892-DD-2121,59.99,0,size:45;color:White;
